"RA_2006_CODE","RA_2006_NAME","POA_2006_CODE","POA_2006_CODE","RATIO","PERCENT"
"11","Inner Regional Australia","2753","2753",0.3516,35.16
"11","Inner Regional Australia","2754","2754",0.3967,39.67
"11","Inner Regional Australia","2756","2756",0.3241,32.41
"11","Inner Regional Australia","2757","2757",1,100
"11","Inner Regional Australia","2758","2758",1,100
"11","Inner Regional Australia","2765","2765",0.1766,17.66
"11","Inner Regional Australia","2775","2775",0.7372,73.72
"11","Inner Regional Australia","2780","2780",0.0153,1.53
"11","Inner Regional Australia","2785","2785",1,100
"11","Inner Regional Australia","2786","2786",1,100
"11","Inner Regional Australia","2787","2787",1,100
"11","Inner Regional Australia","2790","2790",1,100
"11","Inner Regional Australia","2791","2791",1,100
"11","Inner Regional Australia","2792","2792",1,100
"11","Inner Regional Australia","2793","2793",0.5796,57.96
"11","Inner Regional Australia","2794","2794",0.9047,90.47
"11","Inner Regional Australia","2795","2795",0.981,98.1
"11","Inner Regional Australia","2797","2797",1,100
"11","Inner Regional Australia","2798","2798",1,100
"11","Inner Regional Australia","2799","2799",1,100
"11","Inner Regional Australia","2800","2800",1,100
"11","Inner Regional Australia","2804","2804",0.7296,72.96
"11","Inner Regional Australia","2830","2830",0.9032,90.32
"11","Inner Regional Australia","2845","2845",1,100
"11","Inner Regional Australia","2846","2846",1,100
"11","Inner Regional Australia","2847","2847",1,100
"11","Inner Regional Australia","2848","2848",1,100
"11","Inner Regional Australia","2849","2849",0.7729,77.29
"11","Inner Regional Australia","2850","2850",0.7253,72.53
"11","Inner Regional Australia","2852","2852",0.084,8.4
"11","Inner Regional Australia","2865","2865",0.2244,22.44
"11","Inner Regional Australia","2866","2866",0.8422,84.22
"11","Inner Regional Australia","3644","3644",0.1785,17.85
"12","Outer Regional Australia","2311","2311",0.0999,9.99
"12","Outer Regional Australia","2328","2328",0.0644,6.44
"12","Outer Regional Australia","2329","2329",1,100
"12","Outer Regional Australia","2330","2330",0.0138,1.38
"12","Outer Regional Australia","2333","2333",0.0354,3.54
"12","Outer Regional Australia","2336","2336",0.0986,9.86
"12","Outer Regional Australia","2337","2337",0.3092,30.92
"12","Outer Regional Australia","2338","2338",1,100
"12","Outer Regional Australia","2339","2339",1,100
"12","Outer Regional Australia","2340","2340",0.0499,4.99
"12","Outer Regional Australia","2342","2342",1,100
"12","Outer Regional Australia","2343","2343",1,100
"12","Outer Regional Australia","2344","2344",0.2375,23.75
"12","Outer Regional Australia","2345","2345",1,100
"12","Outer Regional Australia","2346","2346",1,100
"12","Outer Regional Australia","2347","2347",1,100
"12","Outer Regional Australia","2350","2350",0.1363,13.63
"12","Outer Regional Australia","2352","2352",0.1237,12.37
"12","Outer Regional Australia","2353","2353",0.0917,9.17
"12","Outer Regional Australia","2354","2354",1,100
"12","Outer Regional Australia","2355","2355",1,100
"12","Outer Regional Australia","2357","2357",1,100
"12","Outer Regional Australia","2358","2358",0.4088,40.88
"12","Outer Regional Australia","2359","2359",1,100
"12","Outer Regional Australia","2360","2360",1,100
"12","Outer Regional Australia","2361","2361",0.8176,81.76
"12","Outer Regional Australia","2365","2365",1,100
"12","Outer Regional Australia","2369","2369",1,100
"12","Outer Regional Australia","2370","2370",1,100
"12","Outer Regional Australia","2371","2371",1,100
"12","Outer Regional Australia","2372","2372",1,100
"12","Outer Regional Australia","2379","2379",1,100
"12","Outer Regional Australia","2380","2380",1,100
"12","Outer Regional Australia","2381","2381",1,100
"12","Outer Regional Australia","2382","2382",1,100
"12","Outer Regional Australia","2388","2388",0.7138,71.38
"12","Outer Regional Australia","2390","2390",1,100
